date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:42:54	10056/10056	---M--	200	added ('OK')	application/x-javascript	etag:%2257d109e4-2748%22	https://ogpau.govspace.gov.au/wp-includes/js/jquery/jquery-migrate.min.js	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-includes/js/jquery/jquery-migrate.min.js	(from https://ogpau.govspace.gov.au/)
00:42:59	1098/1098	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Nov%202016%2013:42:56%20GMT	https://ogpau.govspace.gov.au/wp-json/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-json/index.html	(from https://ogpau.govspace.gov.au/)
00:43:00	866/866	---MCZ	200	added ('OK')	text/xml	date:Wed,%2009%20Nov%202016%2013:42:55%20GMT	https://ogpau.govspace.gov.au/xmlrpc.php?rsd	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/xmlrpc0db0.php	(from https://ogpau.govspace.gov.au/)
00:43:13	1045/1045	---M-Z	200	added ('OK')	text/xml	etag:%2257d109e2-415%22	https://ogpau.govspace.gov.au/wp-includes/wlwmanifest.xml	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-includes/wlwmanifest.xml	(from https://ogpau.govspace.gov.au/)
00:43:14	97184/97184	---M--	200	added ('OK')	application/x-javascript	etag:%2257d109e4-17ba0%22	https://ogpau.govspace.gov.au/wp-includes/js/jquery/jquery.js	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-includes/js/jquery/jquery.js	(from https://ogpau.govspace.gov.au/)
00:43:19	1961/1961	---M--	200	added ('OK')	image/png	etag:%2257d109c7-7a9%22	https://ogpau.govspace.gov.au/wp-content/mu-plugins/govspace-jetlev/images/australian-government-dark.png	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/wp-content/mu-plugins/govspace-jetlev/images/australian-government-dark.png	(from https://ogpau.govspace.gov.au/)
00:43:19	27805/27805	---MC-	200	added ('OK')	text/javascript	date:Wed,%2028%20Sep%202016%2020:19:01%20GMT	http://www.google-analytics.com/analytics.js	/home/puzzleduck/websites/OGP/www.google-analytics.com/analytics.js	(from https://ogpau.govspace.gov.au/)
00:43:36	164417/164417	---M--	200	added ('OK')	image/png	etag:%222f50140072fb28cd8dc3e2beb87a65d2%22	https://ogpau.govspace.gov.au/files/2015/11/cropped-SummitLogo1.png	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/files/2015/11/cropped-SummitLogo1.png	(from https://ogpau.govspace.gov.au/)
00:43:36	27793/27793	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:43:35%20GMT	https://ogpau.govspace.gov.au/draft-national-action-plan/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/draft-national-action-plan/index.html	(from https://ogpau.govspace.gov.au/)
00:43:39	26927/26927	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:43:37%20GMT	https://ogpau.govspace.gov.au/draft-national-action-plan/introduction-2/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/draft-national-action-plan/introduction-2/index.html	(from https://ogpau.govspace.gov.au/)
00:43:40	28059/28059	---MCZ	200	added ('OK')	text/html	date:Wed,%2009%20Nov%202016%2013:43:37%20GMT	https://ogpau.govspace.gov.au/draft-national-action-plan/efforts-to-date/	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/draft-national-action-plan/efforts-to-date/index.html	(from https://ogpau.govspace.gov.au/)
00:43:41	96706/96706	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%22156da065878423b3ccc7c81311540c20%22	https://ogpau.govspace.gov.au/files/2016/10/Australias-first-Open-Government-National-Action-Plan-Draft-for-consultation-Plain-Text.docx	/home/puzzleduck/websites/OGP/ogpau.govspace.gov.au/files/2016/10/Australias-first-Open-Government-National-Action-Plan-Draft-for-consultation-Plain-Text.docx	(from https://ogpau.govspace.gov.au/)
